ผัดพริกแกงกุ้งหน่อไม้,"กุ้งสดผ่าหลังปลอกเปลือก: 1 ขีด
หน่อไม้ดองล้างสะอาด: ครึ่งขีด
โหระพาเด็ดใบ: 1 ต้น
พริกแดง: 2 เม็ด
พริกแกงแดง: 1 ช้อนโต๊ะ
น้ำมันพืช: 2 ช้อนโต๊ะ
น้ำมันหอย: 1 ช้อนโต๊ะ
ซีอิ้วขาว: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนโต๊ะ
ซีอิ้วดำ: ครึ่งช้อนชา"
แกงเห็ดรวม (ไม่ใส่ปลาร้า),"น้ำซูปใบย่านางปลาย่าง (ดูวิธีทำจากสูตรด้านบน): 1 ถ้วย
เห็ดนางฟ้า เห็ดหูหนู เห็ดเข็มทอง (เห็ดอะไรก็ได้ตามชอบครับสัก3อย่าง): 1 ถ้วย
ตะไคร้ทุบ: 1 ต้น
หอมแดง+พริก สับ/โขลก: อย่างละ 1ช้อนโต๊ะ
ฟักทองหั่น: 1 ถ้วยเล็ก
ชะอม: 2 ต้น
ใบแมงลัก: 2 ต้น"
ปลาทับทิมราดพริกสามรส,"ปลาทับทิม: 1 ตัว
แป้งทอดกรอบ: 6 ช้อนโต๊ะ
น้ำมันทอด: 1 ถ้วย
พริกชี้ฟ้า แดง เขียว เหลือง อย่างละ 2 เม็ด: 6 เม็ด
กระเทียม: 10 กลีบ
น้ำมะขามเปียก: 4 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ"
น้ำจิ้มหมูกะทะ,"พริกจินดา: 
กระเทียม: 
ผงชูรส: 
น้ำตาลปีป: 
น้ำปลาแท้: 
น้ำต้มสุก: 
มะนาว: "
ห่อหมกปลาทับทิม,"เนื้อปลากรายขูด: 200 กรัม(2 ขีด)
ปลาทับทิมแร่เอาแต่เนื้อ: 1 ตัว
กะทิ: 2 ถ้วย
พริกแกงเผ็ด: 3 ช้อนโต๊ะ
ใบยอ ใบโหระพา: ตามชอบ
ใบมะกรูดซอย: 5 ใบ
น้ำตาลทราย: 1/2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
พริกชี้ฟ้าหั่นเป็นเส้น: 1 เม็ด
แป้งข้าวเจ้า: 1 ช้อนชา"
ห่อหมกไก่บดห่อกะหล่ำปี,"ไก่บด: 40บาท
นมจืด: 1 กระป๋อง
คนอร์: 1 ก้อน
พริกแกง: 2 ชต
กะหล่ำ: 1/2 หัว
พริก เผื่อตกแต่ง: 1-2 เม็ด
ใบมะกูดซอย: 5-6 ใบ
ไข่ไก่: 1 ฟอง
แป้งข้าวโพด: 1 ช้อนโต๊ะ"
แกงคั่วไก่หน่อไม้ดอง,"หน่อไม้ดอง: 
เนื้อไก่: 
เลือดไก่: 
ใบโหระพา: 
ใบมะกูด: 
พริกชี้ฟ้า: 
พริกแกงกะทิ: 
กะทิ ( กล่อง ): 
เกลือ: 
น้ำปลา: 
น้ำตาลปี๊บ: 
ผงชูรส: "
เนื้อผัดโหระพา,"เนื้อวัว (ล้ำ): 300กรัม
กระเทียมจีน: 6 กลีบ
พริกขี้หนู: 14 เม็ด
ใบโหระพา: 
ซอสปรุงรส: 1 ช้อนโต๊ะ
น้ำปลา: 1/2 ช้อนโต๊ะ
น้ำมันหอย: 2 ช้อนโต๊ะ
น้ำตาลทราย: 1/2 ช้อนโต๊ะ"
พะแนงอกไก่นมสด,"เนื้ออกไก่ลอกหนัง: 1 อกใหญ่
พริกแกงพะแนงแบบไม่มีวัตถุกันเสียและผงชูรส: 1ซอง
มะเขือพวง: 1กำมือ
พริกชี้ฟ้า: 1เม็ด
นมสด: 1กล่อง
น้ำมันมะกอก: 1ช้อนชา
หญ้าหวาน: 1/4ช้อนชา"
ทอดปลาไม่ให้ติดกระทะ และหนังกรอบ เนื้อนุ่ม แบบร้าน,"น้ำมัน: ครึ่งนึงบองปลา
เกลือ: ครึ่งช้อนโต๊ะ
ปลา: 1 ชิ้น"
แกงส้มผักรวมปลากระพง,"เนื้อปลากระพง: 250 g.
พริกแกงส้ม: 2-3 ช้อนโต๊ะ
มะละกอ: 100 g.
หัวไชเท้า,แครอท: 100 g.
ผักบุ้งไทย: 100 g.
ถั่วฝักยาว,ถั่วพู: 100 g.
น้ำมะขามเปียก: 4-5 ช้อนโต๊ะ
น้ำตาลมะพร้าว: 1-2 ช้อนโต๊ะ
น้ำปลาดี: 3 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนชา
น้ำเปล่า: 3 ถต."
อกไก่ผัดพริกเกลือ 🌶️,"อกไก่: 
พริกขี้หนู: 
เกลือ: 
น้ำมันพืช: "
ปลาทับทิมทอดกรอบราดซอส,"เนื้อปลาทับทิม (แร่เนื้อ): 1 ตัว
น้ำมัน(สำหรับทอด): 1 ถ้วย
น้ำเปล่า: 1 1/2 ถ้วย
น้ำมะขามเปียก: 3 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 3 ช้อนโต๊ะ
พริกแห้ง: 5 เม็ด
หอมเล็กเจียว (กินข้างเคียง): 3 ช้อนโต๊ะ
ใบมะกูดหั่นฝอย(กินข้างเคียง): 5 ใบ
ตะใคร้หั่นฝอย (กินข้างเคียง): 1 ต้น"
ตำข้าวโพด ไข่เค็ม,"ข้าวโพดหวาน: 1 ฝัก
ไข่เค็ม: 2 ฟอง
กุ้งแห้ง: 1 ช้อนโต๊ะ
มะเขือเทศ: 1 ลูก
มะเขือกรอบ: 3 ลูก
พริกขี้หนู: 6 เม็ด
กระเทียม: 4 กลีบ
มะนาว: 1 ลูก
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
น้ำปลาร้าต้มปรุงรส: 1.5 ช้อนโต๊ะ
ถั่วลิสงคั่ว: 1 ช้อนโต๊ะ
ผักเคียงจาน: ตามชอบ"
ต้มข่าไก่,"เนื้อไก่: 100 กรัม
ผงสำเร็จต้มข่าไก่ ตราคนอร์: 1 ซอง
เห็ดนางฟ้า: 1 กำมือ
มะเขือเทศ: 1 ลูก
ผักชีฝรั่ง รากผักชี ใบมะกรูด ตะไคร้ ข่าอ่อน: 
กะทิ: 100 มล.
หอมใหญ่: 1/2 หัว"
น้ำตกเนื้อ,"เนื้อสันนอกติดมัน: 1 ชิ้น
น้ำปลาดี: 2 ชต
มะนาว: 1-2 ลูก
พริกป่น: 1 ชต
ข้าวคั่ว: 1 ชต
หอมแดง: 5 หัว
ต้นหอม: 2 ต้น
ผักชีฝรั่ง,สะระแหน่: 
ใบมะกรูดซอย: 4-5 ใบ
พริกขี้หนู,กระเทียม: 
ผงคนอร์อร่อยชัวร์: 1 ชช"
หมูสับผัดใบยี่หร่าพริกแห้ง,"เนื้อหมูสับ หรือบด: 200 กรัม
พริกแห้ง (ใครชอบเผ็ดเติมเอานะคะ): 7 เม็ด
กระเทียม: 1หัว
น้ำตาลทราย: 1/2ช้อนชา
น้ำปลา: 2 ช้อนชา
ซีอิ๊วดำ: 1ช้อนชา
น้ำมันหมู: 1ช้อนชา"
ขนมจีนน้ำยากะทิไก่ข้น (หลัวรักหลัวหลง),"เนื้ออกไก่: 
กะทิ: 
น้ำปลา: 
ปลาร้า (ตามชอบ): 
พริกแห้ง หอมแดง กระเทียม ตะไคร้ ใบมะกรูด กระชาย: "
ข้าวผัดสับปะรด,"ข้าวหอมมะลิ: 800 กรัม
สัปปะรด: 1 ลูก
หัวหอม: 40 กรัม
ลูกเกดดำ: 32 กรัม
ลูกเกดเหลือง: 32 กรัม
มะม่วงหิมพานต์คั่ว: 60 กรัม
ผงกระหรี่: 20 กรัม
หอมเจียว: 60 กรัม
เนยจืด: 80 กรัม
แครอท: 80 กรัม
ต้นหอม: 40 กรัม
กุ้งสด: 360 กรัม
เกลือ: 20 กรัม
ซีอิ๊วขาว: 80 กรัม"
สูตร เมี่ยงหมูกรอบ ด้วยหม้อทอดไร้น้ำมัน พร้อมน้ำจิ้มถั่ว น้ำจิ้มซีฟู้ด,"น้ำจิ้มซีฟู้ด: 
พริกจินดา: 10 เม็ด
พริกจี้หนูสวน: 10 เม็ด
กระเทียม: 5 กลีบ
รากผักชีปั่น: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1-1/2ช้อนโต๊ะ
น้ำมะนาว: 2-1/2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
ผงชูรส: 1 ช้อนชา
น้ำอุ่น: 4 ช้อนโต๊ะ
น้ำจิ้มถั่ว: 
พริกขี้หนูสวน: 10 เม็ด
ถั่วตัด: 3 แผ่น
หมูสามชั้น: 500 กรัม
เกลือ: 2-3 ช้อนโต๊ะ
น้ำส้มสายชู: เทท่วมหนังหมู"
ปลากะพงทอดสมุนไพร,"ปลากะพงแร่แต่เนื้อ: 1 ตัว
กระชายซอย: 1 ขีด
พริกไทยอ่อน: 3-4 พวง
ใบมะกรูด: 5-6 ใบ
ตะไคร้ซอย: 1 ขีด
แป้งทอดกรอบ (แห้ง): 1 จาน
แป้งทอดกรอบผสมน้ำเย็น อัตรส่วน3ต่อ2: 1 ถ้วย
พริกแห้งทอด: 3-4 เม็ด
ผงปรุงรสคนอร์: 1 ช้อนชา"
กะเพราไก่เด็กน้อย👨‍🍳,"ไก่บด: 2 ขีด
กะเพรา: 1 กำมือ
กระเทียมตำ: 4 กลีบ
พริกขี้หนู: 4 ดอก
น้ำมันหอย: 2 ช้อนโต๊ะ
แมกกี้: สำหรับเหยาะ
น้ำปลา: 1 ช้อน
น้ำตาล: 1 ช้อน
น้ำมัน: นิดหน่อย
ซีอิ๊วดำ: นิดหน่อย"
แกงผักอิตุ๊ด,"ผักอิตุ๊ด: 1 ถ้วย
ปลาย่าง: 6 ตัว
หอมแดง: 4 หัว
กระเทียม: 2 หัว
กะปิอย่างดี: 1/2 ชช
คนอร์ก้อน: 1 ก้อน
พริกแห้ง: 6-8 เม็ด
น้ำปลาอย่างดี: 3 ชต"
เกี๊ยวหมูต้มยำ,"แผ่นเกี๊ยว: 
หมูสับ: 
รากผักชี: 
พริกไทยขาว: 
กระเทียม: 
น้ำตาลทราย: 
ซีอิ๊วขาวเห็ดหอม: 
คะน้า: 
น้ำเปล่า: 
คนอร์ซุปก้อนรสหมู: 
เนื้อหมู: 
ถั่วลิสง (แต่เราไม่มี ใช้เม็ดมะม่วงหิมพานต์แทน): 
น้ำปลา: 
น้ำส้มสายชู: 
พริกป่น: 
ผักชี: 
แป้งมัน: 
น้ำมันถั่วเหลือง: 
กระเทียมเจียว: "
