Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
"น้ำมันเมล็ดชา, ต่อ 100 มล.",9.3,0,88.4,797,27.5,0
น้ำมันเมล็ดดอกทานตะวัน,9.3,0,100,900,27.5,0
น้ำมันเมล็ดทานตะวัน,9.3,0,95.1,856,27.5,0
น้ำมันเมล็ดในปาล์ม ผ่านกรรมวิธี,9.3,0,96.8,871,27.5,0
น้ำมันรำข้าว,9.3,0,100,900,27.5,0
"น้ำมันรำข้าว, ผ่านกรรมวิธี",9.3,0,100,900,27.5,0
น้ำมันหมู,0,0,200,900,0,0
น้ำมันหอย,18,5,1,51,10,0
น้ำมันหอย,18,5,1,51,10,0
น้ำมันหอย,2.6,0.6,0.1,37,6.8,0.1
น้ำมันอีฟนิ่ง พรีมโรส,9.3,0,100,900,27.5,0
น้ำเย็น,0,0,0,0,0,0
น้ำร้อน,0,0,0,0,0,0
"น้ำรากบัว, ต่อ 100 มล.",8.9,0,0,134,9.3,0.7
น้ำลิ้นจี่,12.2,0.1,0,53,27.5,0
"น้ำว่านหางจระเข้, กระป๋อง, ต่อ 100 มล.",9.3,0,0.6,49,27.5,0.2
"น้ำสตรอเบอรี่ 25%, ต่อ 100 มล.",10.6,0,0,43,27.5,0.2
น้ำส้นสายชู,0,0,0,18,0.04,0
"น้ำส้ม 100%, ต่อ 100 มล.",12.2,0.7,0.1,57,27.5,0.4
"น้ำส้ม 15%, ต่อ 100 มล.",16.3,0.2,0,70,27.5,0.2
"น้ำส้ม 25%, ต่อ 100 มล.",10.5,0.1,0,39,27.5,0.4
น้ำสลัด,6,0.4,30,300,8,0
"น้ำสลัด, ครีม",21.3,1.2,45,519,27.5,0.8
"น้ำสลัด, งาญี่ปุ่น",12.8,2.4,15.1,262,27.5,2
"น้ำสลัด, ซอสญี่ปุ่น",15.8,2.8,15.3,195,27.5,1.7
น้ำสะเต๊ะ,14.5,3.6,21,289,27.5,1.7
น้ำสะอาด,0,0,0,0,0,0
"น้ำสับปะรด, ต่อ 100 มล.",13.4,0.3,0,71,27.5,0.7
"น้ำเสาวรส 25%, ต่อ 100 มล.",11.5,0.2,0,59,27.5,0.1
